station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LOL,2025-03-06 00:00,-118.5701,40.0684,1192.43,36.00,34.00,92.35,50.00,5.00,0.01,29.74,M,5.00,M,SCT,BKN,OVC,M,600.00,2300.00,2900.00,M,-RA BR,M,M,M,M,M,M,31.15,KLOL 060000Z AUTO 05005KT 5SM -RA BR SCT006 BKN023 OVC029 02/01 A2974 RMK AO2 P0001 T00220011,M
10U,2025-03-06 00:00,-116.1876,41.9532,1637.00,35.60,33.80,93.08,100.00,5.00,0.00,29.75,M,8.00,M,SCT,M,M,M,2000.00,M,M,M,-SN,M,M,M,M,M,M,30.67,K10U 060000Z AUTO 10005KT 8SM -SN SCT020 02/01 A2975 RMK AO2,M
LSV,2025-03-06 00:02,-115.0343,36.2362,570.00,68.00,21.20,16.74,190.00,16.00,0.00,29.68,1004.10,10.00,24.00,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,68.00,KLSV 060002Z 19016G24KT 10SM OVC090 20/M06 A2968 RMK AO2A WSHFT 00 SLP041 $,M
TMT,2025-03-06 00:10,-117.1971,39.4643,1749.34,35.80,34.00,93.09,110.00,3.00,0.00,29.71,M,10.00,M,OVC,M,M,M,900.00,M,M,M,-RA,M,M,M,M,M,M,33.03,KTMT 060010Z AUTO 11003KT 10SM -RA OVC009 02/01 A2971 RMK AO2 T00210012,M
BVU,2025-03-06 00:15,-114.8611,35.9475,671.00,66.20,23.00,19.22,180.00,17.00,0.00,29.74,M,10.00,25.00,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,66.20,KBVU 060015Z AUTO 18017G25KT 10SM OVC080 19/M05 A2974 RMK AO2,M
BAM,2025-03-06 00:15,-116.8743,40.5990,1382.36,35.60,35.60,100.00,340.00,7.00,0.00,29.72,M,7.00,M,SCT,BKN,OVC,M,1800.00,3800.00,4500.00,M,M,M,M,M,M,M,M,29.17,KBAM 060015Z AUTO 34007KT 7SM SCT018 BKN038 OVC045 02/02 A2972 RMK AO1,M
CXP,2025-03-06 00:15,-119.7326,39.1923,1431.00,37.40,35.60,93.14,0.00,0.00,0.00,29.77,M,9.00,M,FEW,SCT,BKN,M,800.00,1400.00,2000.00,M,-RA,M,M,M,M,M,M,37.40,KCXP 060015Z AUTO 00000KT 9SM -RA FEW008 SCT014 BKN020 03/02 A2977 RMK AO2,M
RTS,2025-03-06 00:15,-119.8764,39.6682,1539.00,35.60,32.00,86.59,300.00,10.00,0.00,29.76,M,M,M,M,M,M,M,M,M,M,M,-DZ,M,M,M,M,M,M,27.48,KRTS 060015Z AUTO 30010KT -DZ 02/00 A2976 RMK AO2,M
MEV,2025-03-06 00:15,-119.7500,38.9963,1441.42,37.40,35.60,93.14,170.00,4.00,0.00,29.75,M,10.00,M,OVC,M,M,M,900.00,M,M,M,-RA,M,M,M,M,M,M,33.73,KMEV 060015Z AUTO 17004KT 10SM -RA OVC009 03/02 A2975 RMK AO2,M
HTH,2025-03-06 00:15,-118.6315,38.5448,1282.89,39.20,39.20,100.00,320.00,7.00,0.00,29.75,M,4.00,M,SCT,BKN,M,M,700.00,1300.00,M,M,BR,M,M,M,M,M,M,33.56,KHTH 060015Z AUTO 32007KT 4SM BR SCT007 BKN013 04/04 A2975 RMK A01,M
