dateTime,value,flag,score
"2025-01-07T10:15:00-08:00",0.00,c,-1
"2025-01-07T10:30:00-08:00",0.00,c,-1
"2025-01-07T10:45:00-08:00",0.00,c,-1
"2025-01-15T14:00:00-08:00",40.47,c,-1
"2025-01-15T14:30:00-08:00",0.39,c,-1
"2025-01-21T13:15:00-08:00",19.76,c,-1
"2025-01-21T13:30:00-08:00",0.00,c,-1
"2025-01-21T14:30:00-08:00",0.63,c,-1
"2025-01-21T15:15:00-08:00",0.00,c,-1
"2025-01-23T10:30:00-08:00",0.00,c,-1
"2025-01-23T16:45:00-08:00",0.00,c,-1
"2025-01-24T04:45:00-08:00",0.00,c,-1
"2025-01-24T16:45:00-08:00",0.00,c,-1
"2025-01-25T04:45:00-08:00",0.00,c,-1
"2025-01-25T16:45:00-08:00",0.00,c,-1
"2025-01-26T04:45:00-08:00",0.00,c,-1
"2025-01-26T16:45:00-08:00",0.00,c,-1
"2025-01-27T04:45:00-08:00",0.00,c,-1
"2025-01-27T07:00:00-08:00",0.00,c,-1
"2025-01-27T08:30:00-08:00",0.39,c,-1
"2025-01-27T10:00:00-08:00",0.20,c,-1
"2025-01-27T10:15:00-08:00",0.20,c,-1
"2025-01-28T04:45:00-08:00",0.00,c,-1
"2025-01-28T14:15:00-08:00",0.87,c,-1
"2025-01-29T04:45:00-08:00",0.00,c,-1
"2025-01-30T15:45:00-08:00",0.63,c,-1
"2025-01-30T16:00:00-08:00",79.37,c,-1
"2025-01-31T16:15:00-08:00",0.00,c,-1
"2025-02-01T04:15:00-08:00",69.92,c,-1
"2025-02-01T16:15:00-08:00",0.00,c,-1
"2025-02-02T04:15:00-08:00",0.00,c,-1
"2025-02-05T09:15:00-08:00",0.04,c,-1
"2025-02-05T09:45:00-08:00",0.63,c,-1
"2025-02-05T10:00:00-08:00",0.00,c,-1
"2025-02-06T08:45:00-08:00",0.00,c,-1
"2025-02-06T09:00:00-08:00",0.00,c,-1
"2025-02-06T09:15:00-08:00",0.00,c,-1
"2025-02-06T10:30:00-08:00",0.00,c,-1
"2025-02-06T11:30:00-08:00",0.00,c,-1
"2025-02-10T09:15:00-08:00",0.00,c,-1
"2025-02-10T12:00:00-08:00",0.00,c,-1
"2025-02-10T12:15:00-08:00",0.00,c,-1
"2025-02-10T12:30:00-08:00",50.39,c,-1
"2025-02-11T11:45:00-08:00",0.00,c,-1
"2025-02-11T12:30:00-08:00",0.35,c,-1
"2025-02-12T13:00:00-08:00",0.83,c,-1
"2025-02-13T15:00:00-08:00",0.00,c,-1
"2025-02-13T15:15:00-08:00",0.00,c,-1
"2025-02-13T15:30:00-08:00",0.00,c,-1
