"Date","Time","Value","Raw"
"06/12/2024","16:34:38","2040.0","2040",
"06/12/2024","08:59:34","1836.0","1836",
"06/20/2023","04:47:07","0.0","0",
"06/07/2023","15:56:07","0.0","0",
"05/06/2023","16:37:07","0.0","0",
"11/14/2022","13:47:46","2039.0","2039",
"01/28/2022","11:56:26","1978.0","1978",
"12/17/2021","12:06:14","120.0","120",
"11/25/2021","03:16:04","519.0","519",
"10/10/2021","04:20:14","64.0","64",
"07/29/2021","22:16:06","333.0","333",
"07/27/2021","00:57:24","1979.0","1979",
"01/29/2021","05:35:32","1832.0","1832",
"01/14/2021","22:32:47","1930.0","1930",
