"Date","Time","Value","Raw"
"12/14/2023","13:53:36","285.0","285",
"02/18/2023","11:11:54","356.0","356",
"08/12/2021","12:45:50","100.0","100",
"03/11/2021","23:45:56","100.0","100",
"02/08/2021","11:45:56","1924.0","1924",
