"Date","Time","Value"
"06/01/2025","12:15:00","94"
"06/01/2025","12:12:00","94"
"06/01/2025","12:00:00","93"
"06/01/2025","11:45:00","93"
"06/01/2025","11:40:00","93"
"06/01/2025","11:30:00","92"
"06/01/2025","11:22:00","93"
"06/01/2025","11:15:00","92"
"06/01/2025","11:00:00","91"
"06/01/2025","10:45:00","92"
"06/01/2025","10:38:00","93"
"06/01/2025","10:30:00","92"
"06/01/2025","10:15:00","91"
"06/01/2025","10:11:00","91"
"06/01/2025","10:00:00","90"
"06/01/2025","09:50:00","90"
"06/01/2025","09:45:00","91"
"06/01/2025","09:40:00","91"
"06/01/2025","09:35:00","90"
"06/01/2025","09:30:00","89"
"06/01/2025","09:28:00","90"
"06/01/2025","09:15:00","89"
"06/01/2025","09:00:00","88"
"06/01/2025","08:57:00","88"
"06/01/2025","08:45:00","89"
"06/01/2025","08:37:00","90"
"06/01/2025","08:30:00","91"
"06/01/2025","08:29:00","91"
"06/01/2025","08:24:00","90"
"06/01/2025","08:18:00","89"
"06/01/2025","08:15:00","88"
"06/01/2025","08:03:00","88"
"06/01/2025","08:00:00","87"
"06/01/2025","07:45:00","86"
"06/01/2025","07:39:00","86"
"06/01/2025","07:30:00","84"
"06/01/2025","07:15:00","84"
"06/01/2025","07:07:00","83"
"06/01/2025","07:04:00","82"
"06/01/2025","07:00:00","81"
"06/01/2025","06:58:00","81"
"06/01/2025","06:54:00","82"
"06/01/2025","06:50:00","81"
"06/01/2025","06:45:00","79"
"06/01/2025","06:33:00","79"
"06/01/2025","06:30:00","80"
