"Date","Time","Value"
"06/01/2025","12:15:00","196"
"06/01/2025","12:00:00","167"
"06/01/2025","11:45:00","200"
"06/01/2025","11:30:00","201"
"06/01/2025","11:15:00","161"
"06/01/2025","11:00:00","186"
"06/01/2025","10:45:00","206"
"06/01/2025","10:30:00","184"
"06/01/2025","10:15:00","193"
"06/01/2025","10:00:00","192"
"06/01/2025","09:45:00","182"
"06/01/2025","09:30:00","203"
"06/01/2025","09:15:00","201"
"06/01/2025","09:00:00","216"
"06/01/2025","08:30:00","201"
"06/01/2025","08:15:00","221"
"06/01/2025","08:00:00","210"
"06/01/2025","07:45:00","175"
"06/01/2025","07:30:00","176"
"06/01/2025","07:15:00","174"
"06/01/2025","07:00:00","214"
"06/01/2025","06:30:00","214"
