station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
HND,2023-06-15 00:03,-115.1344,35.9729,742.79,89.60,44.60,21.04,360.00,12.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,VCTS,M,M,M,M,M,M,86.07,KHND 150003Z 36012KT 10SM VCTS CLR 32/07 A2976 RMK AO2 LTG DSNT S TSB2357,M
ELY,2023-06-15 00:05,-114.8453,39.2950,1909.00,63.00,53.00,70.07,0.00,0.00,T,29.95,M,10.00,M,FEW,BKN,BKN,M,8000.00,10000.00,12000.00,M,TS,M,M,M,M,M,M,63.00,KELY 150005Z AUTO 00000KT 10SM TS FEW080 BKN100 BKN120 17/12 A2995 RMK AO2 LTG DSNT E AND SW RAE2357 TSB2359 P0000 T01720117,M
CXP,2023-06-15 00:10,-119.7326,39.1923,1431.00,75.20,48.20,38.46,250.00,8.00,0.00,29.94,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KCXP 150010Z AUTO 25008G19KT 10SM CLR 24/09 A2994 RMK AO2,M
05U,2023-06-15 00:10,-116.0051,39.6042,1811.23,68.00,51.80,56.13,20.00,8.00,0.00,29.95,M,10.00,M,FEW,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,68.00,K05U 150010Z AUTO 02008KT 10SM FEW060 20/11 A2995 RMK A01,M
TPH,2023-06-15 00:10,-117.0904,38.0505,1654.00,68.00,49.00,50.40,290.00,16.00,0.00,29.94,M,10.00,M,SCT,BKN,M,M,8500.00,11000.00,M,M,TS,M,M,M,M,M,M,68.00,KTPH 150010Z AUTO 29016KT 10SM TS SCT085 BKN110 20/09 A2994 RMK AO2 LTG DSNT NW TSB04 T02000094 PNO $,M
BVU,2023-06-15 00:15,-114.8611,35.9475,671.00,87.80,41.00,19.40,310.00,12.00,0.00,29.71,M,10.00,27.00,FEW,SCT,M,M,5000.00,12000.00,M,M,M,M,M,M,M,M,M,84.30,KBVU 150015Z AUTO 31012G27KT 10SM FEW050 SCT120 31/05 A2971 RMK AO2,M
RTS,2023-06-15 00:15,-119.8764,39.6682,1539.00,71.60,48.20,43.42,280.00,10.00,0.00,29.96,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KRTS 150015Z AUTO 28010G17KT 10SM CLR 22/09 A2996 RMK AO2,M
MEV,2023-06-15 00:15,-119.7500,38.9963,1441.42,77.00,50.00,38.74,280.00,17.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KMEV 150015Z AUTO 28017KT 10SM CLR 25/10 A2993 RMK AO2,M
BAM,2023-06-15 00:15,-116.8743,40.5990,1382.36,77.00,44.60,31.62,330.00,14.00,0.00,29.88,M,10.00,19.00,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,77.00,KBAM 150015Z AUTO 33014G19KT 10SM SCT080 25/07 A2988 RMK AO1,M
HTH,2023-06-15 00:15,-118.6315,38.5448,1282.89,82.40,44.60,26.49,320.00,10.00,0.00,29.84,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.50,KHTH 150015Z AUTO 32010G17KT 10SM CLR 28/07 A2984 RMK A01,M
TMT,2023-06-15 00:15,-117.1971,39.4643,1749.34,69.80,47.00,43.96,320.00,6.00,0.00,29.95,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,69.80,KTMT 150015Z AUTO 32006KT 10SM OVC110 21/08 A2995 RMK AO2 LTG DSNT SE AND SW T02100083,M
HND,2023-06-15 00:20,-115.1344,35.9729,742.79,89.60,44.60,21.04,10.00,10.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.07,KHND 150020Z 01010KT 10SM CLR 32/07 A2975 RMK AO2 TSB2357E14,M
ELY,2023-06-15 00:20,-114.8453,39.2950,1909.00,63.00,53.00,70.07,210.00,6.00,T,29.95,M,10.00,M,FEW,SCT,BKN,M,4300.00,7000.00,11000.00,M,VCTS,M,M,M,M,M,M,63.00,KELY 150020Z AUTO 21006KT 10SM VCTS FEW043 SCT070 BKN110 17/12 A2995 RMK AO2 LTG DSNT E AND SW AND W RAE2357 TSB2359E14 P0000 T01720117,M
05U,2023-06-15 00:30,-116.0051,39.6042,1811.23,69.80,53.60,56.38,40.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,K05U 150030Z AUTO 04005KT 10SM CLR 21/12 A2995 RMK A01,M
TPH,2023-06-15 00:32,-117.0904,38.0505,1654.00,66.00,52.00,60.60,0.00,0.00,0.00,29.93,M,7.00,M,FEW,BKN,OVC,M,6000.00,9000.00,11000.00,M,-RA,M,M,M,M,M,M,66.00,KTPH 150032Z AUTO 00000KT 7SM -RA FEW060 BKN090 OVC110 19/11 A2993 RMK AO2 RAB15 TSB04E26 T01890111 PNO $,M
BVU,2023-06-15 00:35,-114.8611,35.9475,671.00,89.60,39.20,17.09,300.00,12.00,0.00,29.71,M,10.00,18.00,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,85.73,KBVU 150035Z AUTO 30012G18KT 10SM BKN120 32/04 A2971 RMK AO2,M
CXP,2023-06-15 00:35,-119.7326,39.1923,1431.00,75.20,48.20,38.46,260.00,11.00,0.00,29.94,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KCXP 150035Z AUTO 26011G16KT 10SM CLR 24/09 A2994 RMK AO2,M
RTS,2023-06-15 00:35,-119.8764,39.6682,1539.00,69.80,48.20,46.16,290.00,13.00,0.00,29.95,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KRTS 150035Z AUTO 29013G19KT 10SM CLR 21/09 A2995 RMK AO2,M
MEV,2023-06-15 00:35,-119.7500,38.9963,1441.42,75.20,50.00,41.14,280.00,14.00,0.00,29.93,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KMEV 150035Z AUTO 28014G19KT 10SM CLR 24/10 A2993 RMK AO2 LTG DSNT SE AND S,M
BAM,2023-06-15 00:35,-116.8743,40.5990,1382.36,77.00,42.80,29.51,340.00,15.00,0.00,29.88,M,10.00,28.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KBAM 150035Z AUTO 34015G28KT 10SM CLR 25/06 A2988 RMK AO1,M
HTH,2023-06-15 00:35,-118.6315,38.5448,1282.89,82.40,44.60,26.49,320.00,11.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.50,KHTH 150035Z AUTO 32011KT 10SM CLR 28/07 A2984 RMK A01,M
TMT,2023-06-15 00:35,-117.1971,39.4643,1749.34,71.00,48.20,44.46,300.00,8.00,0.00,29.94,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,70.90,KTMT 150035Z AUTO 30008KT 10SM SCT120 22/09 A2994 RMK AO2 LTG DSNT SE AND SW T02160090,M
05U,2023-06-15 00:50,-116.0051,39.6042,1811.23,68.00,53.60,59.97,30.00,3.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,K05U 150050Z AUTO 03003KT 10SM CLR 20/12 A2994 RMK A01,M
P68,2023-06-15 00:53,-116.0056,39.6014,1993.00,68.00,52.00,56.55,50.00,4.00,0.00,29.91,1006.30,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KP68 150053Z AUTO 05004KT 20/11 A2991 RMK AO1 SLP063 T02000111,M
VGT,2023-06-15 00:53,-115.1933,36.2111,667.00,90.00,44.00,20.39,320.00,15.00,0.00,29.70,1004.90,10.00,23.00,CLR,M,M,M,M,M,M,M,M,M,M,M,29.00,320.00,2023-06-15 00:18,86.38,KVGT 150053Z 32015G23KT 10SM CLR 32/07 A2970 RMK AO2 PK WND 32029/0018 SLP049 T03220067,M
DRA,2023-06-15 00:53,-116.0278,36.6206,1009.00,78.00,47.00,33.26,30.00,20.00,0.00,29.81,1005.40,10.00,29.00,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,29.00,30.00,2023-06-15 00:50,78.10,KDRA 150053Z AUTO 03020G29KT 10SM OVC120 26/08 A2981 RMK AO2 PK WND 03029/0050 SLP054 T02560083,M
ELY,2023-06-15 00:53,-114.8453,39.2950,1909.00,62.00,53.00,72.33,200.00,9.00,T,29.95,1007.00,10.00,M,OVC,M,M,M,6500.00,M,M,M,VCTS,M,M,M,M,M,M,62.10,KELY 150053Z AUTO 20009KT 10SM VCTS OVC065 17/12 A2995 RMK AO2 LTG DSNT N AND S AND SW RAE2357B39E52 TSB2359E14 SLP070 P0000 T01670117,M
