station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CXP,2021-07-30 00:10,-119.7326,39.1923,1431.00,82.40,44.60,26.49,190.00,13.00,0.00,30.18,M,10.00,25.00,FEW,SCT,OVC,M,7000.00,8000.00,11000.00,M,M,M,M,M,M,M,M,80.50,KCXP 300010Z AUTO 19013G25KT 140V210 10SM FEW070 SCT080 OVC110 28/07 A3018 RMK AO2,M
05U,2021-07-30 00:15,-116.0051,39.6042,1811.23,80.60,46.40,30.07,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.56,K05U 300015Z AUTO 00000KT 10SM CLR 27/08 A3023 RMK A01,M
BAM,2021-07-30 00:15,-116.8743,40.5990,1382.36,96.80,35.60,11.86,70.00,6.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.72,KBAM 300015Z AUTO 07006KT 10SM CLR 36/02 A3005 RMK AO1,M
MEV,2021-07-30 00:15,-119.7500,38.9963,1441.42,73.40,50.00,43.69,180.00,22.00,0.00,30.20,M,10.00,32.00,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,73.40,KMEV 300015Z AUTO 18022G32KT 10SM BKN110 23/10 A3020 RMK AO2,M
BVU,2021-07-30 00:15,-114.8611,35.9475,671.00,104.00,46.40,14.50,0.00,0.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.21,KBVU 300015Z AUTO 00000KT 10SM CLR 40/08 A2980 RMK AO2 LTG DSNT NE-SE,M
RTS,2021-07-30 00:15,-119.8764,39.6682,1539.00,84.20,39.20,20.29,210.00,16.00,0.00,30.16,M,10.00,22.00,FEW,BKN,M,M,10000.00,12000.00,M,M,M,M,M,M,M,M,M,81.44,KRTS 300015Z AUTO 21016G22KT 10SM FEW100 BKN120 29/04 A3016 RMK AO2,M
TMT,2021-07-30 00:15,-117.1971,39.4643,1749.34,85.30,42.80,22.52,40.00,6.00,0.00,30.16,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,82.42,KTMT 300015Z AUTO 04006KT 10SM SCT120 30/06 A3016 RMK AO2 LTG DSNT NE T02960060,M
HTH,2021-07-30 00:15,-118.6315,38.5448,1282.89,91.40,41.00,17.32,260.00,20.00,0.00,30.04,M,10.00,25.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.40,KHTH 300015Z AUTO 26020G25KT 10SM CLR 33/05 A3004 RMK A01,M
CXP,2021-07-30 00:30,-119.7326,39.1923,1431.00,78.80,46.40,31.90,190.00,12.00,0.00,30.20,M,10.00,27.00,SCT,OVC,M,M,7000.00,8000.00,M,M,M,M,M,M,M,M,M,78.80,KCXP 300030Z AUTO 19012G27KT 160V220 10SM SCT070 OVC080 26/08 A3020 RMK AO2 LTG DSNT W AND NW,M
05U,2021-07-30 00:35,-116.0051,39.6042,1811.23,80.60,48.20,32.18,320.00,4.00,0.00,30.23,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,79.71,K05U 300035Z AUTO 32004KT 10SM SCT120 27/09 A3023 RMK A01,M
HTH,2021-07-30 00:35,-118.6315,38.5448,1282.89,91.40,39.20,16.15,250.00,18.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.30,KHTH 300035Z AUTO 25018KT 10SM CLR 33/04 A3003 RMK A01,M
TMT,2021-07-30 00:35,-117.1971,39.4643,1749.34,85.60,42.60,22.13,100.00,4.00,0.00,30.16,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,82.64,KTMT 300035Z AUTO 10004KT 10SM SCT110 30/06 A3016 RMK AO2 T02980059,M
MEV,2021-07-30 00:35,-119.7500,38.9963,1441.42,71.60,51.80,49.64,190.00,22.00,0.00,30.20,M,10.00,30.00,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,71.60,KMEV 300035Z AUTO 19022G30KT 10SM FEW110 22/11 A3020 RMK AO2,M
BVU,2021-07-30 00:35,-114.8611,35.9475,671.00,104.00,46.40,14.50,90.00,12.00,0.00,29.80,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.21,KBVU 300035Z AUTO 09012G17KT 10SM CLR 40/08 A2980 RMK AO2 LTG DSNT E-SW,M
RTS,2021-07-30 00:35,-119.8764,39.6682,1539.00,84.20,37.40,18.91,260.00,16.00,0.00,30.18,M,10.00,23.00,FEW,SCT,M,M,9000.00,12000.00,M,M,M,M,M,M,M,M,M,81.38,KRTS 300035Z AUTO 26016G23KT 10SM FEW090 SCT120 29/03 A3018 RMK AO2,M
BAM,2021-07-30 00:35,-116.8743,40.5990,1382.36,96.80,35.60,11.86,80.00,11.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.72,KBAM 300035Z AUTO 08011KT 10SM CLR 36/02 A3006 RMK AO1,M
CXP,2021-07-30 00:50,-119.7326,39.1923,1431.00,75.20,48.20,38.46,190.00,13.00,0.00,30.22,M,10.00,21.00,FEW,SCT,SCT,M,7000.00,8000.00,12000.00,M,M,M,M,M,M,M,M,75.20,KCXP 300050Z AUTO 19013G21KT 160V220 10SM FEW070 SCT080 SCT120 24/09 A3022 RMK AO2,M
LOL,2021-07-30 00:53,-118.5701,40.0684,1192.43,98.00,36.00,11.58,50.00,9.00,0.00,29.98,1010.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,92.87,KLOL 300053Z AUTO 05009KT 10SM CLR 37/02 A2998 RMK AO2 SLP106 T03670022,M
DRA,2021-07-30 00:53,-116.0278,36.6206,1009.00,97.00,48.00,19.02,180.00,23.00,0.00,29.91,M,10.00,31.00,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,31.00,180.00,2021-07-30 00:52,93.52,KDRA 300053Z AUTO 18023G31KT 10SM BKN120 36/09 A2991 RMK AO2 PK WND 18031/0052 SLPNO T03610089,M
P68,2021-07-30 00:53,-116.0056,39.6014,1993.00,79.00,51.00,37.78,340.00,6.00,0.00,30.20,1015.10,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.00,KP68 300053Z AUTO 34006KT 26/11 A3020 RMK AO1 SLP151 T02610106,M
ELY,2021-07-30 00:53,-114.8453,39.2950,1909.00,77.00,49.00,37.19,160.00,15.00,0.00,30.22,1014.10,10.00,M,SCT,BKN,M,M,9000.00,11000.00,M,M,M,M,M,M,M,M,M,77.00,KELY 300053Z AUTO 16015KT 10SM SCT090 BKN110 25/09 A3022 RMK AO2 LTG DSNT N AND NE SLP141 T02500094,M
VGT,2021-07-30 00:53,-115.1933,36.2111,667.00,107.00,50.00,15.14,70.00,5.00,0.00,29.78,1006.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,104.29,KVGT 300053Z 07005KT 10SM CLR 42/10 A2978 RMK AO2 LTG DSNT SE AND S SLP066 T04170100 PNO,M
MEV,2021-07-30 00:55,-119.7500,38.9963,1441.42,69.80,50.00,49.37,180.00,24.00,0.00,30.20,M,9.00,32.00,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,69.80,KMEV 300055Z AUTO 18024G32KT 9SM FEW100 21/10 A3020 RMK AO2,M
05U,2021-07-30 00:55,-116.0051,39.6042,1811.23,78.80,50.00,36.51,0.00,0.00,0.00,30.23,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,78.80,K05U 300055Z AUTO 00000KT 10SM FEW120 26/10 A3023 RMK A01,M
BVU,2021-07-30 00:55,-114.8611,35.9475,671.00,104.00,46.40,14.50,100.00,14.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.21,KBVU 300055Z AUTO 10014KT 10SM CLR 40/08 A2981 RMK AO2 LTG DSNT E AND SW,M
RTS,2021-07-30 00:55,-119.8764,39.6682,1539.00,82.40,39.20,21.51,280.00,15.00,0.00,30.17,M,10.00,20.00,CLR,M,M,M,M,M,M,M,-DZ,M,M,M,M,M,M,80.21,KRTS 300055Z AUTO 28015G20KT 10SM -DZ CLR 28/04 A3017 RMK AO2,M
TMT,2021-07-30 00:55,-117.1971,39.4643,1749.34,85.30,44.60,24.12,100.00,7.00,0.00,30.16,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,82.54,KTMT 300055Z AUTO 10007KT 10SM SCT120 30/07 A3016 RMK AO2 T02960070,M
BAM,2021-07-30 00:55,-116.8743,40.5990,1382.36,91.40,44.60,19.89,120.00,20.00,0.00,30.06,M,10.00,25.00,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,87.68,KBAM 300055Z AUTO 12020G25KT 10SM SCT120 33/07 A3006 RMK AO1,M
HTH,2021-07-30 00:55,-118.6315,38.5448,1282.89,91.40,39.20,16.15,260.00,18.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.30,KHTH 300055Z AUTO 26018KT 10SM CLR 33/04 A3003 RMK A01,M
RNO,2021-07-30 00:55,-119.7711,39.4839,1341.00,83.00,46.00,27.48,200.00,21.00,0.00,30.11,1014.10,10.00,33.00,FEW,BKN,OVC,M,9000.00,10000.00,15000.00,M,M,M,M,M,35.00,200.00,2021-07-30 00:42,80.94,KRNO 300055Z 20021G33KT 10SM FEW090 BKN100 OVC150 28/08 A3011 RMK AO2 PK WND 20035/0042 WSHFT 2345 SLP141 VIRGA CB DSNT S THRU W AND NW FU AND HZ ALQDS T02830078,M
WMC,2021-07-30 00:56,-117.8072,40.9019,1315.00,96.00,35.00,11.88,40.00,5.00,0.00,30.03,1011.60,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,91.07,KWMC 300056Z AUTO 04005KT 10SM FEW110 36/02 A3003 RMK AO2 SLP116 T03560017,M
TPH,2021-07-30 00:56,-117.0904,38.0505,1654.00,86.00,46.00,24.88,230.00,9.00,0.00,30.14,1012.00,10.00,M,BKN,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,83.19,KTPH 300056Z AUTO 23009KT 10SM BKN095 30/08 A3014 RMK AO2 SLP120 T03000078,M
HND,2021-07-30 00:56,-115.1344,35.9729,742.79,103.00,52.00,18.47,M,3.00,0.00,29.84,1008.40,10.00,M,CLR,M,M,M,M,M,M,M,VCTS,M,M,M,M,M,M,100.60,KHND 300056Z VRB03KT 10SM VCTS CLR 39/11 A2984 RMK AO2 LTG DSNT E-S TSB56 SLP084 T03940111,M
EKO,2021-07-30 00:56,-115.7860,40.8242,1367.00,83.00,46.00,27.48,320.00,4.00,0.00,30.13,1014.70,10.00,M,BKN,OVC,M,M,9500.00,11000.00,M,M,M,M,M,M,M,M,M,80.94,KEKO 300056Z AUTO 32004KT 10SM BKN095 OVC110 28/08 A3013 RMK AO2 SLP147 T02830078 $,M
NFL,2021-07-30 00:56,-118.7010,39.4166,1199.00,90.00,45.00,21.10,240.00,24.00,0.00,30.00,1013.10,4.00,30.00,BKN,BKN,BKN,M,8000.00,12000.00,25000.00,M,BLDU,M,M,M,33.00,230.00,2021-07-30 00:40,86.45,KNFL 300056Z 24024G30KT 4SM BLDU BKN080 BKN120 BKN250 32/07 A3000 RMK AO2 PK WND 23033/0040 SLP131 CB DSNT SW-W VIS LWR SW T03220072,M
LAS,2021-07-30 00:56,-115.1634,36.0719,663.00,105.00,47.00,14.30,M,5.00,0.00,29.80,1005.60,10.00,M,SCT,SCT,SCT,M,12000.00,16000.00,22000.00,M,M,M,M,M,M,M,M,101.41,KLAS 300056Z VRB05KT 10SM SCT120CB SCT160 SCT220 41/08 A2980 RMK AO2 LTG DSNT SE AND S SLP056 CB E-S AND DSNT ALQDS T04060083,M
INS,2021-07-30 00:58,-115.6733,36.5872,955.00,94.50,48.40,20.85,220.00,20.00,0.00,29.90,1007.10,10.00,M,FEW,M,M,M,20000.00,M,M,M,M,M,M,M,M,M,M,91.10,KINS 300058Z AUTO 22020KT 10SM FEW200 35/09 A2990 RMK AO2 LTG DSNT SW SLP071 T03470091 $,M
LSV,2021-07-30 00:58,-115.0343,36.2362,570.00,105.40,48.20,14.88,70.00,3.00,0.00,29.76,1004.80,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,102.05,KLSV 300058Z AUTO 07003KT 10SM M 41/09 A2976 RMK AO2 SLP048 T04080090 $,M
CXP,2021-07-30 01:10,-119.7326,39.1923,1431.00,73.40,48.20,40.85,200.00,10.00,0.00,30.23,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KCXP 300110Z AUTO 20010G17KT 160V260 10SM CLR 23/09 A3023 RMK AO2,M
05U,2021-07-30 01:15,-116.0051,39.6042,1811.23,78.80,51.80,39.02,100.00,10.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,K05U 300115Z AUTO 10010KT 10SM CLR 26/11 A3023 RMK A01,M
MEV,2021-07-30 01:15,-119.7500,38.9963,1441.42,68.00,50.00,52.51,170.00,24.00,0.00,30.21,M,10.00,31.00,SCT,SCT,BKN,M,7000.00,8000.00,10000.00,M,M,M,M,M,M,M,M,68.00,KMEV 300115Z AUTO 17024G31KT 10SM SCT070 SCT080 BKN100 20/10 A3021 RMK AO2,M
HTH,2021-07-30 01:15,-118.6315,38.5448,1282.89,89.60,39.20,17.09,260.00,12.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.73,KHTH 300115Z AUTO 26012KT 10SM CLR 32/04 A3003 RMK A01,M
BAM,2021-07-30 01:15,-116.8743,40.5990,1382.36,89.60,44.60,21.04,130.00,14.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.07,KBAM 300115Z AUTO 13014KT 10SM CLR 32/07 A3007 RMK AO1,M
BVU,2021-07-30 01:15,-114.8611,35.9475,671.00,93.20,60.80,34.11,170.00,20.00,0.00,29.85,M,9.00,27.00,FEW,FEW,SCT,M,3100.00,4300.00,6000.00,M,VCTS,M,M,M,M,M,M,93.32,KBVU 300115Z AUTO 17020G27KT 9SM VCTS FEW031 FEW043 SCT060 34/16 A2985 RMK AO2 LTG DSNT ALQDS,M
RTS,2021-07-30 01:15,-119.8764,39.6682,1539.00,82.40,39.20,21.51,290.00,7.00,0.00,30.17,M,10.00,13.00,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,80.21,KRTS 300115Z AUTO 29007G13KT 10SM SCT120 28/04 A3017 RMK AO2,M
TMT,2021-07-30 01:15,-117.1971,39.4643,1749.34,84.60,44.40,24.48,80.00,7.00,0.00,30.16,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,82.00,KTMT 300115Z AUTO 08007KT 050V130 10SM SCT120 29/07 A3016 RMK AO2 T02920069,M
LAS,2021-07-30 01:24,-115.1634,36.0719,663.00,104.00,47.00,14.78,M,4.00,0.00,29.80,M,10.00,M,SCT,SCT,BKN,M,12000.00,16000.00,22000.00,M,TS,M,M,M,M,M,M,100.33,KLAS 300124Z VRB04KT 10SM TS SCT120CB SCT160 BKN220 40/08 A2980 RMK AO2 LTG DSNT E-SW TSB24 OCNL LTGICCG E-S TS E-S MOV NW CB DSNT ALQDS T04000083,M
INS,2021-07-30 01:26,-115.6733,36.5872,955.00,93.20,48.20,21.54,280.00,10.00,0.00,29.92,1007.80,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,89.80,KINS 300126Z AUTO 28010KT 10SM SCT120 34/09 A2992 RMK AO2 WSHFT 16 LTG DSNT N-NE SLP078 $,M
CXP,2021-07-30 01:30,-119.7326,39.1923,1431.00,71.60,50.00,46.43,200.00,9.00,0.00,30.22,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KCXP 300130Z AUTO 20009G18KT 10SM CLR 22/10 A3022 RMK AO2,M
INS,2021-07-30 01:32,-115.6733,36.5872,955.00,93.20,50.00,23.04,350.00,16.00,0.00,29.93,1008.20,10.00,21.00,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,90.10,KINS 300132Z AUTO 35016G21KT 10SM BKN110 34/10 A2993 RMK AO2 WSHFT 28 LTG DSNT N-NE SLP082 $,M
MEV,2021-07-30 01:35,-119.7500,38.9963,1441.42,69.80,50.00,49.37,170.00,12.00,0.00,30.20,M,10.00,M,SCT,SCT,M,M,6500.00,8000.00,M,M,M,M,M,M,M,M,M,69.80,KMEV 300135Z AUTO 17012KT 10SM SCT065 SCT080 21/10 A3020 RMK AO2,M
BVU,2021-07-30 01:35,-114.8611,35.9475,671.00,87.80,59.00,37.90,140.00,17.00,0.00,29.85,M,10.00,M,FEW,FEW,SCT,M,3600.00,4600.00,6000.00,M,M,M,M,M,M,M,M,87.12,KBVU 300135Z AUTO 14017KT 10SM FEW036 FEW046 SCT060 31/15 A2985 RMK AO2 LTG DSNT SW-NW,M
RTS,2021-07-30 01:35,-119.8764,39.6682,1539.00,80.60,39.20,22.81,290.00,14.00,0.00,30.17,M,10.00,20.00,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,79.10,KRTS 300135Z AUTO 29014G20KT 10SM SCT120 27/04 A3017 RMK AO2,M
TMT,2021-07-30 01:35,-117.1971,39.4643,1749.34,84.20,45.00,25.37,110.00,5.00,0.00,30.16,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,81.76,KTMT 300135Z AUTO 11005KT 10SM BKN120 29/07 A3016 RMK AO2 LTG DSNT E T02900072,M
BAM,2021-07-30 01:35,-116.8743,40.5990,1382.36,91.40,41.00,17.32,130.00,12.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.40,KBAM 300135Z AUTO 13012KT 10SM CLR 33/05 A3007 RMK AO1,M
HTH,2021-07-30 01:35,-118.6315,38.5448,1282.89,91.40,37.40,15.05,270.00,9.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.23,KHTH 300135Z AUTO 27009KT 10SM CLR 33/03 A3003 RMK A01,M
05U,2021-07-30 01:35,-116.0051,39.6042,1811.23,77.00,50.00,38.74,130.00,8.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,K05U 300135Z AUTO 13008KT 10SM CLR 25/10 A3024 RMK A01,M
DRA,2021-07-30 01:36,-116.0278,36.6206,1009.00,91.00,50.00,24.68,260.00,15.00,0.00,29.91,M,10.00,M,FEW,SCT,BKN,M,7000.00,9000.00,11000.00,M,M,M,M,M,39.00,180.00,2021-07-30 00:56,87.99,KDRA 300136Z AUTO 26015KT 10SM FEW070 SCT090 BKN110 33/10 A2991 RMK AO2 PK WND 18039/0056 WSHFT 0119 T03280100,M
LAS,2021-07-30 01:37,-115.1634,36.0719,663.00,100.00,52.00,20.15,180.00,18.00,0.00,29.82,M,10.00,27.00,SCT,SCT,BKN,M,12000.00,16000.00,22000.00,M,TS,M,M,M,27.00,170.00,2021-07-30 01:37,97.53,KLAS 300137Z 18018G27KT 10SM TS SCT120CB SCT160 BKN220 38/11 A2982 RMK AO2 PK WND 17027/0137 LTG DSNT SE-SW TSB24 OCNL LTGICCG E-S TS E-S MOV NW CB DSNT ALQDS T03780111,M
INS,2021-07-30 01:38,-115.6733,36.5872,955.00,91.40,53.60,27.83,40.00,16.00,0.00,29.93,1008.40,10.00,21.00,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,89.08,KINS 300138Z AUTO 04016G21KT 10SM BKN110 33/12 A2993 RMK AO2 WSHFT 32 LTG DSNT N-E SLP084 $,M
