station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
INS,2021-09-10 00:03,-115.6733,36.5872,955.00,93.20,44.60,18.80,70.00,7.00,0.00,29.91,1007.80,10.00,M,FEW,FEW,BKN,M,2100.00,7000.00,13000.00,M,M,M,M,M,M,M,M,89.34,KINS 100003Z AUTO 07007KT 10SM FEW021 FEW070 BKN130 34/07 A2991 RMK AO2 LTG DSNT NW-N RAE01DZB01E03DZB03 TSE2359 SLP078 $,M
ELY,2021-09-10 00:08,-114.8453,39.2950,1909.00,75.00,45.00,34.31,110.00,13.00,T,30.22,M,9.00,26.00,FEW,OVC,M,M,9000.00,11000.00,M,M,-RA,M,M,M,35.00,110.00,2021-09-09 23:54,75.00,KELY 100008Z AUTO 11013G26KT 9SM -RA FEW090 OVC110 24/07 A3022 RMK AO2 PK WND 11035/2354 WSHFT 2348 LTG DSNT N TSE2357 P0000 T02390072,M
RNO,2021-09-10 00:10,-119.7711,39.4839,1341.00,80.00,48.00,32.46,350.00,15.00,0.02,29.98,M,5.00,30.00,BKN,BKN,M,M,9500.00,15000.00,M,M,-TSRA,M,M,M,35.00,170.00,2021-09-09 23:58,79.42,KRNO 100010Z 35015G30KT 5SM -TSRA BKN095CB BKN150 27/09 A2998 RMK AO2 PK WND 17035/2358 WSHFT 2356 LTG DSNT N OCNL LTG OHD TS OHD MOV N P0002 T02670089,M
INS,2021-09-10 00:11,-115.6733,36.5872,955.00,95.00,48.20,20.38,120.00,8.00,0.00,29.92,1008.00,10.00,M,FEW,BKN,M,M,2100.00,13000.00,M,M,-DZ,M,M,M,M,M,M,91.56,KINS 100011Z AUTO 12008KT 10SM -DZ FEW021 BKN130 35/09 A2992 RMK AO2 LTG DSNT NW RAE01DZB01E03DZB03E03DZB11 TSE2359 SLP080 $,M
BAM,2021-09-10 00:15,-116.8743,40.5990,1382.36,93.20,30.20,10.67,230.00,13.00,0.00,29.99,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,88.09,KBAM 100015Z AUTO 23013G22KT 10SM CLR 34/M01 A2999 RMK AO1,M
BVU,2021-09-10 00:15,-114.8611,35.9475,671.00,104.00,44.60,13.54,140.00,10.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,99.82,KBVU 100015Z AUTO 14010KT 10SM CLR 40/07 A2985 RMK AO2 LTG DSNT E,M
CXP,2021-09-10 00:15,-119.7326,39.1923,1431.00,84.20,41.00,21.76,340.00,9.00,0.00,30.02,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,81.52,KCXP 100015Z AUTO 34009KT 10SM FEW110 29/05 A3002 RMK AO2 LTG DSNT N,M
RTS,2021-09-10 00:15,-119.8764,39.6682,1539.00,80.60,41.00,24.46,150.00,21.00,0.00,30.04,M,10.00,32.00,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,79.20,KRTS 100015Z AUTO 15021G32KT 10SM BKN110 27/05 A3004 RMK AO2,M
MEV,2021-09-10 00:15,-119.7500,38.9963,1441.42,86.00,39.20,19.15,30.00,13.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.79,KMEV 100015Z AUTO 03013KT 10SM CLR 30/04 A3000 RMK AO2,M
ELY,2021-09-10 00:15,-114.8453,39.2950,1909.00,73.40,46.40,38.18,250.00,16.00,0.00,30.22,M,5.00,31.00,FEW,BKN,OVC,M,7000.00,9000.00,11000.00,M,VCTS RA,M,M,M,M,M,M,73.40,KELY 100015Z AUTO 25016G31KT 190V330 5SM VCTS RA FEW070 BKN090 OVC110 23/08 A3022,M
TMT,2021-09-10 00:15,-117.1971,39.4643,1749.34,85.00,36.30,17.71,170.00,18.00,0.00,30.10,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.87,KTMT 100015Z AUTO 17018G26KT 10SM CLR 29/02 A3010 RMK AO2 T02940024,M
RNO,2021-09-10 00:21,-119.7711,39.4839,1341.00,81.00,45.00,28.15,330.00,6.00,0.02,29.98,M,10.00,M,BKN,BKN,M,M,9500.00,15000.00,M,M,TS,M,M,M,35.00,170.00,2021-09-09 23:58,79.68,KRNO 100021Z 33006KT 10SM TS BKN095CB BKN150 27/07 A2998 RMK AO2 PK WND 17035/2358 WSHFT 2359 LTG DSNT N RAE18 OCNL LTG N TS N MOV N SH NW THRU NE P0002 T02720072,M
INS,2021-09-10 00:26,-115.6733,36.5872,955.00,86.00,51.80,30.90,0.00,0.00,0.00,29.93,1008.80,5.00,M,SCT,OVC,M,M,3500.00,13000.00,M,M,VCTS RA,M,M,M,M,M,M,83.87,KINS 100026Z AUTO 00000KT 5SM VCTS RA SCT035 OVC130 30/11 A2993 RMK AO2 RAE01DZB01E03DZB03E03DZB11E16RAB16 TSE2359 SLP088 $,M
ELY,2021-09-10 00:31,-114.8453,39.2950,1909.00,73.00,48.00,41.10,320.00,10.00,0.01,30.21,M,10.00,19.00,FEW,SCT,OVC,M,2100.00,8000.00,11000.00,M,-RA,M,M,M,35.00,110.00,2021-09-09 23:54,73.00,KELY 100031Z AUTO 32010G19KT 10SM -RA FEW021 SCT080 OVC110 23/09 A3021 RMK AO2 PK WND 11035/2354 WSHFT 0017 TSE2357 P0001 T02280089 $,M
INS,2021-09-10 00:34,-115.6733,36.5872,955.00,86.00,51.80,30.90,340.00,4.00,0.00,29.94,1009.20,10.00,M,SCT,OVC,M,M,3500.00,12000.00,M,M,VCTS,M,M,M,M,M,M,83.87,KINS 100034Z AUTO 34004KT 10SM VCTS SCT035 OVC120 30/11 A2994 RMK AO2 RAE01DZB01E03DZB03E03DZB11E16RAB16 TSE2359 SLP092 $,M
CXP,2021-09-10 00:35,-119.7326,39.1923,1431.00,86.00,41.00,20.54,340.00,6.00,0.00,30.02,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,82.86,KCXP 100035Z AUTO 34006KT 10SM FEW110 30/05 A3002 RMK AO2,M
MEV,2021-09-10 00:35,-119.7500,38.9963,1441.42,86.00,37.40,17.85,20.00,10.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.73,KMEV 100035Z AUTO 02010KT 10SM CLR 30/03 A3000 RMK AO2,M
RTS,2021-09-10 00:35,-119.8764,39.6682,1539.00,82.40,37.40,20.04,110.00,15.00,0.00,30.03,M,10.00,27.00,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,80.14,KRTS 100035Z AUTO 11015G27KT 10SM SCT110 28/03 A3003 RMK AO2,M
TMT,2021-09-10 00:35,-117.1971,39.4643,1749.34,83.30,40.60,22.06,130.00,18.00,0.00,30.09,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.87,KTMT 100035Z AUTO 13018G26KT 10SM CLR 29/05 A3009 RMK AO2 T02850048,M
BAM,2021-09-10 00:35,-116.8743,40.5990,1382.36,91.40,33.80,13.05,170.00,23.00,0.00,30.00,M,7.00,28.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.13,KBAM 100035Z AUTO 17023G28KT 7SM CLR 33/01 A3000 RMK AO1,M
BVU,2021-09-10 00:35,-114.8611,35.9475,671.00,104.00,44.60,13.54,140.00,13.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,99.82,KBVU 100035Z AUTO 14013KT 10SM CLR 40/07 A2985 RMK AO2,M
RNO,2021-09-10 00:36,-119.7711,39.4839,1341.00,79.00,52.00,39.06,30.00,3.00,0.02,29.98,M,10.00,M,BKN,BKN,M,M,9500.00,15000.00,M,M,M,M,M,M,35.00,170.00,2021-09-09 23:58,79.00,KRNO 100036Z 03003KT 10SM BKN095CB BKN150 26/11 A2998 RMK AO2 PK WND 17035/2358 WSHFT 2359 LTG DSNT N RAE18 TSE30 OCNL LTG DSNT N TS DSNT N MOV N CB DSNT N P0002 T02610111,M
INS,2021-09-10 00:44,-115.6733,36.5872,955.00,86.00,60.80,42.80,150.00,5.00,0.00,29.96,1009.90,9.00,M,SCT,OVC,M,M,3500.00,12000.00,M,M,-RA,M,M,M,M,M,M,86.05,KINS 100044Z AUTO 15005KT 9SM -RA SCT035 OVC120 30/16 A2996 RMK AO2 LTG DSNT NW-N RAE01DZB01E03DZB03E03DZB11E16RAB16E34RAB44 TSE2359 PRESRR SLP099 $,M
INS,2021-09-10 00:48,-115.6733,36.5872,955.00,86.00,53.60,33.01,170.00,21.00,0.00,29.95,1009.50,9.00,27.00,FEW,OVC,M,M,3200.00,12000.00,M,M,-RA SQ,M,M,M,M,M,M,84.18,KINS 100048Z AUTO 17021G27KT 9SM -RA SQ FEW032 OVC120 30/12 A2995 RMK AO2 LTG DSNT NW-N RAE01DZB01E03DZB03E03DZB11E16RAB16E34RAB44 TSE2359 SLP095 $,M
INS,2021-09-10 00:51,-115.6733,36.5872,955.00,86.00,51.80,30.90,150.00,27.00,0.00,29.95,1009.50,10.00,M,FEW,BKN,M,M,1200.00,12000.00,M,M,-RA SQ,M,M,M,M,M,M,83.87,KINS 100051Z AUTO 15027KT 10SM -RA SQ FEW012 BKN120 30/11 A2995 RMK AO2 LTG DSNT NW-N RAE01DZB01E03DZB03E03DZB11E16RAB16E34RAB44 TSE2359 SLP095 $,M
ELY,2021-09-10 00:53,-114.8453,39.2950,1909.00,70.00,53.00,54.98,60.00,4.00,0.01,30.22,1015.60,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,35.00,110.00,2021-09-09 23:54,70.00,KELY 100053Z AUTO 06004KT 10SM SCT120 21/12 A3022 RMK AO2 PK WND 11035/2354 WSHFT 0017 LTG DSNT N-SE RAE42 TSE2357 SLP156 P0001 T02110117 $,M
DRA,2021-09-10 00:53,-116.0278,36.6206,1009.00,95.00,41.00,15.49,210.00,13.00,0.00,29.93,1008.30,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,36.00,170.00,2021-09-10 00:22,90.70,KDRA 100053Z AUTO 21013G26KT 10SM CLR 35/05 A2993 RMK AO2 PK WND 17036/0022 SLP083 T03500050,M
VGT,2021-09-10 00:53,-115.1933,36.2111,667.00,105.00,40.00,10.94,180.00,12.00,0.00,29.82,1008.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,99.68,KVGT 100053Z 18012KT 10SM CLR 41/04 A2982 RMK AO2 SLP082 T04060044,M
LOL,2021-09-10 00:53,-118.5701,40.0684,1192.43,94.00,33.00,11.74,210.00,10.00,0.00,29.90,1008.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.00,KLOL 100053Z AUTO 21010KT 10SM CLR 34/01 A2990 RMK AO2 SLP083 T03440006,M
P68,2021-09-10 00:53,-116.0056,39.6014,1993.00,76.00,43.00,30.85,60.00,8.00,0.00,30.18,1014.70,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.90,KP68 100053Z AUTO 06008KT 24/06 A3018 RMK AO1 SLP147 T02440061,M
RTS,2021-09-10 00:55,-119.8764,39.6682,1539.00,82.40,37.40,20.04,200.00,5.00,0.00,30.04,M,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,80.14,KRTS 100055Z AUTO 20005KT 10SM FEW100 28/03 A3004 RMK AO2,M
BVU,2021-09-10 00:55,-114.8611,35.9475,671.00,102.20,44.60,14.29,170.00,10.00,0.00,29.85,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,98.07,KBVU 100055Z AUTO 17010G19KT 10SM CLR 39/07 A2985 RMK AO2,M
CXP,2021-09-10 00:55,-119.7326,39.1923,1431.00,86.00,42.80,22.02,M,4.00,0.00,30.02,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,82.95,KCXP 100055Z AUTO VRB04KT 10SM BKN110 30/06 A3002 RMK AO2,M
