"Date","Time","Value"
"06/12/2025","06:45:00","3"
"06/12/2025","06:30:00","2"
"06/12/2025","06:15:00","3"
"06/12/2025","06:00:00","1"
"06/12/2025","05:45:00","4"
"06/12/2025","05:30:00","4"
"06/12/2025","05:15:00","4"
"06/12/2025","05:00:00","4"
"06/12/2025","04:45:00","8"
"06/12/2025","04:30:00","2"
"06/12/2025","04:15:00","0"
"06/12/2025","04:00:00","4"
"06/12/2025","03:45:00","2"
"06/12/2025","03:30:00","1"
"06/12/2025","03:15:00","0"
"06/12/2025","03:00:00","0"
"06/12/2025","02:45:00","6"
"06/12/2025","02:30:00","17"
"06/12/2025","02:15:00","19"
"06/12/2025","02:00:00","22"
"06/12/2025","01:45:00","25"
"06/12/2025","01:30:00","27"
"06/12/2025","01:15:00","22"
"06/12/2025","01:00:00","23"
