"Date","Time","Value"
"06/12/2025","06:45:00","312"
"06/12/2025","06:30:00","312"
"06/12/2025","06:15:00","341"
"06/12/2025","06:00:00","341"
"06/12/2025","05:45:00","356"
"06/12/2025","05:30:00","15"
"06/12/2025","05:15:00","9"
"06/12/2025","05:00:00","358"
"06/12/2025","04:45:00","359"
"06/12/2025","04:30:00","0"
"06/12/2025","04:15:00","22"
"06/12/2025","04:00:00","1"
"06/12/2025","03:45:00","1"
"06/12/2025","03:30:00","353"
"06/12/2025","03:15:00","83"
"06/12/2025","03:00:00","94"
"06/12/2025","02:45:00","189"
"06/12/2025","02:30:00","45"
"06/12/2025","02:15:00","150"
"06/12/2025","02:00:00","167"
"06/12/2025","01:45:00","120"
"06/12/2025","01:30:00","105"
"06/12/2025","01:15:00","105"
"06/12/2025","01:00:00","131"
