station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BVU,2022-08-08 00:15,-114.8611,35.9475,671.00,102.20,44.60,14.29,140.00,4.00,0.00,29.90,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,98.07,KBVU 080015Z AUTO 14004KT 39/07 A2990 RMK AO2 PWINO TSNO,M
CXP,2022-08-08 00:15,-119.7326,39.1923,1431.00,93.20,37.40,14.23,M,6.00,0.00,30.10,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,88.83,KCXP 080015Z AUTO VRB06KT 10SM SCT110 34/03 A3010 RMK AO2,M
RTS,2022-08-08 00:15,-119.8764,39.6682,1539.00,89.60,35.60,14.83,M,4.00,0.00,30.14,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,85.62,KRTS 080015Z AUTO VRB04KT 10SM SCT110 32/02 A3014 RMK AO2,M
MEV,2022-08-08 00:15,-119.7500,38.9963,1441.42,93.20,42.80,17.55,M,4.00,0.00,30.09,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,89.17,KMEV 080015Z AUTO VRB04KT 10SM FEW120 34/06 A3009 RMK AO2,M
BAM,2022-08-08 00:15,-116.8743,40.5990,1382.36,95.00,37.40,13.46,40.00,3.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.46,KBAM 080015Z AUTO 04003KT 10SM CLR 35/03 A3013 RMK AO1,M
HTH,2022-08-08 00:15,-118.6315,38.5448,1282.89,93.20,37.40,14.23,300.00,5.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,88.83,KHTH 080015Z AUTO 30005KT 10SM CLR 34/03 A3005 RMK A01,M
TMT,2022-08-08 00:15,-117.1971,39.4643,1749.34,M,M,M,290.00,6.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTMT 080015Z AUTO 29006KT 10SM CLR A3022 RMK AO2,M
TMT,2022-08-08 00:35,-117.1971,39.4643,1749.34,M,M,M,0.00,0.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTMT 080035Z AUTO 00000KT 10SM CLR A3022 RMK AO2,M
HTH,2022-08-08 00:35,-118.6315,38.5448,1282.89,93.20,39.20,15.27,330.00,4.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,88.92,KHTH 080035Z AUTO 33004KT 10SM CLR 34/04 A3004 RMK A01,M
MEV,2022-08-08 00:35,-119.7500,38.9963,1441.42,91.40,48.20,22.78,270.00,13.00,0.00,30.09,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,88.09,KMEV 080035Z AUTO 27013KT 10SM SCT120 33/09 A3009 RMK AO2,M
RTS,2022-08-08 00:35,-119.8764,39.6682,1539.00,89.60,37.40,15.92,180.00,6.00,0.00,30.14,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,85.67,KRTS 080035Z AUTO 18006KT 10SM BKN110 32/03 A3014 RMK AO2,M
CXP,2022-08-08 00:35,-119.7326,39.1923,1431.00,95.00,37.40,13.46,280.00,6.00,0.00,30.10,M,10.00,13.00,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,90.46,KCXP 080035Z AUTO 28006G13KT 10SM BKN110 35/03 A3010 RMK AO2,M
BVU,2022-08-08 00:35,-114.8611,35.9475,671.00,102.20,44.60,14.29,0.00,0.00,0.00,29.90,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,98.07,KBVU 080035Z AUTO 00000KT 39/07 A2990 RMK AO2 PWINO TSNO,M
BAM,2022-08-08 00:35,-116.8743,40.5990,1382.36,95.00,37.40,13.46,40.00,5.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.46,KBAM 080035Z AUTO 04005KT 10SM CLR 35/03 A3013 RMK AO1,M
VGT,2022-08-08 00:53,-115.1933,36.2111,667.00,104.00,48.00,15.40,120.00,7.00,0.00,29.89,1010.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.60,KVGT 080053Z 12007KT 10SM CLR 40/09 A2989 RMK AO2 SLP106 T04000089 PNO,M
LOL,2022-08-08 00:53,-118.5701,40.0684,1192.43,97.00,36.00,11.98,110.00,5.00,0.00,30.02,1012.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.96,KLOL 080053Z AUTO 11005KT 10SM CLR 36/02 A3002 RMK AO2 SLP120 T03610022,M
DRA,2022-08-08 00:53,-116.0278,36.6206,1009.00,100.00,45.00,15.50,M,4.00,0.00,29.98,1009.40,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,95.99,KDRA 080053Z AUTO VRB04KT 10SM FEW110 38/07 A2998 RMK AO2 SLP094 T03780072,M
ELY,2022-08-08 00:53,-114.8453,39.2950,1909.00,83.00,37.00,19.41,10.00,7.00,0.00,30.26,1015.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.46,KELY 080053Z AUTO 01007KT 10SM CLR 28/03 A3026 RMK AO2 SLP157 T02830028,M
MEV,2022-08-08 00:55,-119.7500,38.9963,1441.42,89.60,50.00,25.79,280.00,12.00,0.00,30.09,M,10.00,18.00,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,86.70,KMEV 080055Z AUTO 28012G18KT 10SM FEW120 32/10 A3009 RMK AO2,M
RTS,2022-08-08 00:55,-119.8764,39.6682,1539.00,87.80,37.40,16.86,90.00,3.00,0.00,30.13,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,84.16,KRTS 080055Z AUTO 09003KT 10SM FEW110 31/03 A3013 RMK AO2,M
TMT,2022-08-08 00:55,-117.1971,39.4643,1749.34,M,M,M,320.00,3.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTMT 080055Z AUTO 32003KT 10SM CLR A3021 RMK AO2,M
BVU,2022-08-08 00:55,-114.8611,35.9475,671.00,102.20,44.60,14.29,30.00,7.00,0.00,29.90,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,98.07,KBVU 080055Z AUTO 03007KT 39/07 A2990 RMK AO2 PWINO TSNO,M
CXP,2022-08-08 00:55,-119.7326,39.1923,1431.00,91.40,41.00,17.32,110.00,7.00,0.00,30.10,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,87.40,KCXP 080055Z AUTO 11007KT 10SM OVC110 33/05 A3010 RMK AO2,M
RNO,2022-08-08 00:55,-119.7711,39.4839,1341.00,94.00,44.00,18.05,M,4.00,0.00,30.06,1011.40,10.00,M,BKN,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,89.95,KRNO 080055Z VRB04KT 10SM BKN080TCU 34/07 A3006 RMK AO2 SLP114 TCU ALQDS T03440067,M
HTH,2022-08-08 00:55,-118.6315,38.5448,1282.89,93.20,39.20,15.27,0.00,0.00,0.00,30.04,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,88.92,KHTH 080055Z AUTO 00000KT 10SM SCT120 34/04 A3004 RMK A01,M
BAM,2022-08-08 00:55,-116.8743,40.5990,1382.36,95.00,37.40,13.46,80.00,7.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.46,KBAM 080055Z AUTO 08007KT 10SM CLR 35/03 A3012 RMK AO1,M
NFL,2022-08-08 00:56,-118.7010,39.4166,1199.00,98.00,35.00,11.17,M,3.00,0.00,30.00,1013.00,10.00,M,SCT,SCT,M,M,9000.00,14000.00,M,M,M,M,M,M,M,M,M,92.73,KNFL 080056Z VRB03KT 10SM SCT090 SCT140 37/02 A3000 RMK AO2 SLP130 SH DSNT W T03670017 PNO $,M
WMC,2022-08-08 00:56,-117.8072,40.9019,1315.00,92.00,43.00,18.42,80.00,8.00,0.00,30.09,1013.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.99,KWMC 080056Z AUTO 08008KT 10SM CLR 33/06 A3009 RMK AO2 SLP136 T03330061,M
HND,2022-08-08 00:56,-115.1344,35.9729,742.79,101.00,50.00,18.21,0.00,0.00,0.00,29.94,1011.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,97.94,KHND 080056Z 00000KT 10SM CLR 38/10 A2994 RMK AO2 SLP119 T03830100,M
TPH,2022-08-08 00:56,-117.0904,38.0505,1654.00,88.00,43.00,20.82,210.00,7.00,0.00,30.17,1013.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.58,KTPH 080056Z AUTO 21007KT 10SM CLR 31/06 A3017 RMK AO2 SLP136 T03110061,M
LAS,2022-08-08 00:56,-115.1634,36.0719,663.00,102.00,48.00,16.35,M,3.00,0.00,29.90,1009.40,10.00,M,FEW,FEW,M,M,10000.00,25000.00,M,M,M,M,M,M,M,M,M,98.58,KLAS 080056Z VRB03KT 10SM FEW100 FEW250 39/09 A2990 RMK AO2 SLP094 CB DSNT SE T03890089,M
EKO,2022-08-08 00:56,-115.7860,40.8242,1367.00,85.00,40.00,20.39,0.00,0.00,0.00,30.17,1016.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.98,KEKO 080056Z AUTO 00000KT 10SM CLR 29/04 A3017 RMK AO2 SLP168 T02940044 $,M
INS,2022-08-08 00:58,-115.6733,36.5872,955.00,98.00,42.40,14.87,130.00,7.00,0.00,29.96,1009.20,10.00,M,FEW,BKN,M,M,12000.00,15000.00,M,M,M,M,M,M,M,M,M,93.77,KINS 080058Z AUTO 13007KT 10SM FEW120 BKN150 37/06 A2996 RMK AO2 SLP092 T03670058,M
