station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BVU,2022-08-22 00:15,-114.8611,35.9475,671.00,100.40,62.60,29.17,140.00,11.00,0.00,29.88,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,102.50,KBVU 220015Z AUTO 14011KT 38/17 A2988 RMK AO2 PWINO TSNO,M
CXP,2022-08-22 00:15,-119.7326,39.1923,1431.00,91.40,33.80,13.05,280.00,17.00,0.00,30.13,M,10.00,24.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.13,KCXP 220015Z AUTO 28017G24KT 10SM CLR 33/01 A3013 RMK AO2,M
RTS,2022-08-22 00:15,-119.8764,39.6682,1539.00,89.60,26.60,10.30,250.00,13.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.02,KRTS 220015Z AUTO 25013KT 10SM CLR 32/M03 A3017 RMK AO2,M
BAM,2022-08-22 00:15,-116.8743,40.5990,1382.36,95.00,35.60,12.53,360.00,6.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.25,KBAM 220015Z AUTO 36006KT 10SM CLR 35/02 A3008 RMK AO1,M
HTH,2022-08-22 00:15,-118.6315,38.5448,1282.89,95.00,32.00,10.85,320.00,11.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.71,KHTH 220015Z AUTO 32011KT 10SM CLR 35/00 A3004 RMK A01,M
TMT,2022-08-22 00:15,-117.1971,39.4643,1749.34,M,M,M,360.00,7.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTMT 220015Z AUTO 36007KT 10SM CLR A3020 RMK AO2,M
MEV,2022-08-22 00:15,-119.7500,38.9963,1441.42,91.40,37.40,15.05,280.00,13.00,0.00,30.12,M,10.00,23.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.23,KMEV 220015Z AUTO 28013G23KT 10SM CLR 33/03 A3012 RMK AO2,M
MEV,2022-08-22 00:35,-119.7500,38.9963,1441.42,91.40,39.20,16.15,270.00,11.00,0.00,30.12,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.30,KMEV 220035Z AUTO 27011G19KT 10SM CLR 33/04 A3012 RMK AO2,M
BVU,2022-08-22 00:35,-114.8611,35.9475,671.00,100.40,62.60,29.17,120.00,12.00,0.00,29.89,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,102.50,KBVU 220035Z AUTO 12012KT 38/17 A2989 RMK AO2 PWINO TSNO,M
BAM,2022-08-22 00:35,-116.8743,40.5990,1382.36,95.00,35.60,12.53,350.00,5.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.25,KBAM 220035Z AUTO 35005KT 10SM CLR 35/02 A3008 RMK AO1,M
