station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
TMT,2025-06-05 00:10,-117.1971,39.4643,1749.34,74.50,22.50,14.18,320.00,14.00,0.00,29.99,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,74.50,KTMT 050010Z AUTO 32014G17KT 10SM CLR 24/M05 A2999 RMK AO2 T02361053,M
BVU,2025-06-05 00:15,-114.8611,35.9475,671.00,91.40,46.40,21.35,180.00,15.00,0.00,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.87,KBVU 050015Z AUTO 18015KT 10SM CLR 33/08 A2973 RMK AO2 LTG DSNT E AND SW,M
BAM,2025-06-05 00:15,-116.8743,40.5990,1382.36,77.00,28.40,16.68,360.00,7.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KBAM 050015Z AUTO 36007KT 10SM CLR 25/M02 A2996 RMK AO1,M
CXP,2025-06-05 00:15,-119.7326,39.1923,1431.00,82.40,24.80,12.05,290.00,6.00,0.00,29.92,M,10.00,11.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.79,KCXP 050015Z AUTO 29006G11KT 10SM CLR 28/M04 A2992 RMK AO2,M
RTS,2025-06-05 00:15,-119.8764,39.6682,1539.00,77.00,21.20,12.35,70.00,10.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KRTS 050015Z AUTO 07010KT 10SM CLR 25/M06 A2996 RMK AO2,M
MEV,2025-06-05 00:15,-119.7500,38.9963,1441.42,80.60,26.60,13.76,0.00,0.00,0.00,29.91,M,10.00,11.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.68,KMEV 050015Z AUTO 00000G11KT 10SM CLR 27/M03 A2991 RMK AO2,M
HTH,2025-06-05 00:15,-118.6315,38.5448,1282.89,80.60,21.20,10.98,330.00,7.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.68,KHTH 050015Z AUTO 33007KT 10SM CLR 27/M06 A2990 RMK A01,M
HND,2025-06-05 00:24,-115.1344,35.9729,742.79,91.40,50.00,24.44,150.00,14.00,0.00,29.77,M,10.00,21.00,BKN,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,88.38,KHND 050024Z 15014G21KT 10SM BKN100 33/10 A2977 RMK AO2 WSHFT 0004 LTG DSNT S $,M
MEV,2025-06-05 00:30,-119.7500,38.9963,1441.42,80.60,26.60,13.76,290.00,4.00,0.00,29.91,M,10.00,10.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.68,KMEV 050030Z AUTO 29004G10KT 10SM CLR 27/M03 A2991 RMK AO2,M
TMT,2025-06-05 00:30,-117.1971,39.4643,1749.34,73.40,21.70,14.23,330.00,12.00,0.00,29.99,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KTMT 050030Z AUTO 33012G21KT 310V020 10SM CLR 23/M06 A2999 RMK AO2 T02301057,M
BVU,2025-06-05 00:35,-114.8611,35.9475,671.00,89.60,46.40,22.59,160.00,16.00,0.00,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.24,KBVU 050035Z AUTO 16016KT 10SM CLR 32/08 A2973 RMK AO2,M
BAM,2025-06-05 00:35,-116.8743,40.5990,1382.36,77.00,26.60,15.49,350.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KBAM 050035Z AUTO 35005KT 10SM CLR 25/M03 A2995 RMK AO1,M
CXP,2025-06-05 00:35,-119.7326,39.1923,1431.00,82.40,26.60,12.98,340.00,9.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.92,KCXP 050035Z AUTO 34009KT 10SM CLR 28/M03 A2992 RMK AO2,M
RTS,2025-06-05 00:35,-119.8764,39.6682,1539.00,77.00,21.20,12.35,80.00,12.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KRTS 050035Z AUTO 08012KT 10SM CLR 25/M06 A2996 RMK AO2,M
HTH,2025-06-05 00:35,-118.6315,38.5448,1282.89,82.40,21.20,10.35,320.00,10.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.56,KHTH 050035Z AUTO 32010KT 10SM CLR 28/M06 A2990 RMK A01,M
HTH,2025-06-05 00:50,-118.6315,38.5448,1282.89,80.60,21.20,10.98,310.00,10.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.68,KHTH 050050Z AUTO 31010KT 10SM CLR 27/M06 A2990 RMK A01,M
TMT,2025-06-05 00:50,-117.1971,39.4643,1749.34,72.70,21.00,14.14,10.00,10.00,0.00,29.98,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,72.70,KTMT 050050Z AUTO 01010G19KT 10SM CLR 23/M06 A2998 RMK AO2 T02261062,M
P68,2025-06-05 00:53,-116.0056,39.6014,1993.00,74.00,22.00,14.12,340.00,12.00,0.00,29.96,1008.90,M,20.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,74.00,KP68 050053Z AUTO 34012G20KT 23/M06 A2996 RMK AO1 SLP089 T02331056,M
DRA,2025-06-05 00:53,-116.0278,36.6206,1009.00,90.00,39.00,16.79,230.00,15.00,0.00,29.78,1003.70,10.00,20.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.07,KDRA 050053Z AUTO 23015G20KT 10SM CLR 32/04 A2978 RMK AO2 SLP037 T03220039,M
ELY,2025-06-05 00:53,-114.8453,39.2950,1909.00,75.00,21.00,13.09,290.00,7.00,0.00,29.97,1006.80,10.00,17.00,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,75.00,KELY 050053Z AUTO 29007G17KT 10SM BKN110 24/M06 A2997 RMK AO2 SLP068 T02391061,M
VGT,2025-06-05 00:53,-115.1933,36.2111,667.00,91.00,39.00,16.27,180.00,3.00,0.00,29.73,1005.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.94,KVGT 050053Z 18003KT 10SM CLR 33/04 A2973 RMK AO2 LTG DSNT SW AND W SLP059 T03280039,M
LOL,2025-06-05 00:53,-118.5701,40.0684,1192.43,80.00,24.00,12.60,80.00,12.00,0.00,29.89,1008.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.26,KLOL 050053Z AUTO 08012KT 10SM CLR 27/M04 A2989 RMK AO2 SLP088 T02671044,M
BVU,2025-06-05 00:55,-114.8611,35.9475,671.00,89.60,46.40,22.59,160.00,15.00,0.00,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.24,KBVU 050055Z AUTO 16015KT 10SM CLR 32/08 A2973 RMK AO2,M
RNO,2025-06-05 00:55,-119.7711,39.4839,1341.00,82.00,25.00,12.31,30.00,10.00,0.00,29.90,1007.60,10.00,20.00,FEW,SCT,M,M,9000.00,25000.00,M,M,M,M,M,M,M,M,M,79.54,KRNO 050055Z 03010G20KT 10SM FEW090 SCT250 28/M04 A2990 RMK AO2 SLP076 CB DSNT S T02781039,M
BAM,2025-06-05 00:55,-116.8743,40.5990,1382.36,77.00,26.60,15.49,340.00,9.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KBAM 050055Z AUTO 34009KT 10SM CLR 25/M03 A2995 RMK AO1,M
CXP,2025-06-05 00:55,-119.7326,39.1923,1431.00,80.60,26.60,13.76,340.00,7.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.68,KCXP 050055Z AUTO 34007KT 10SM CLR 27/M03 A2992 RMK AO2,M
RTS,2025-06-05 00:55,-119.8764,39.6682,1539.00,77.00,21.20,12.35,70.00,10.00,0.00,29.96,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KRTS 050055Z AUTO 07010G16KT 10SM CLR 25/M06 A2996 RMK AO2,M
