station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
INS,2023-08-20 00:00,-115.6733,36.5872,955.00,71.60,62.60,73.27,100.00,10.00,0.00,30.01,1012.40,10.00,M,OVC,M,M,M,9500.00,M,M,M,-DZ,M,M,M,M,M,M,71.60,KINS 200000Z AUTO 10010KT 10SM -DZ OVC095 22/17 A3001 RMK AO2 DZE2356DZB00 SLP124 $,M
BVU,2023-08-20 00:15,-114.8611,35.9475,671.00,71.60,66.20,83.09,220.00,5.00,0.00,29.94,M,10.00,M,FEW,FEW,SCT,M,4500.00,5500.00,8500.00,M,M,M,M,M,M,M,M,71.60,KBVU 200015Z AUTO 22005KT 10SM FEW045 FEW055 SCT085 22/19 A2994 RMK AO2,M
CXP,2023-08-20 00:15,-119.7326,39.1923,1431.00,78.80,42.80,27.81,330.00,15.00,0.00,29.98,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,78.80,KCXP 200015Z AUTO 33015KT 10SM BKN120 26/06 A2998 RMK AO2,M
LSV,2023-08-20 00:15,-115.0343,36.2362,570.00,75.20,66.20,73.61,150.00,12.00,0.00,29.92,1011.40,10.00,M,FEW,SCT,BKN,M,6500.00,9000.00,11000.00,M,-RA,M,M,M,M,M,M,75.20,KLSV 200015Z AUTO 15012KT 10SM -RA FEW065 SCT090 BKN110 24/19 A2992 RMK AO2 RAB15 SLP114 $,M
RTS,2023-08-20 00:15,-119.8764,39.6682,1539.00,69.80,44.60,40.29,250.00,21.00,0.00,30.05,M,10.00,29.00,FEW,SCT,SCT,M,5500.00,9500.00,11000.00,M,M,M,M,M,M,M,M,69.80,KRTS 200015Z AUTO 25021G29KT 10SM FEW055 SCT095 SCT110 21/07 A3005 RMK AO2,M
05U,2023-08-20 00:15,-116.0051,39.6042,1811.23,80.60,35.60,19.79,M,M,0.00,30.10,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.94,K05U 200015Z AUTO 10SM 27/02 A3010 RMK A01,M
MEV,2023-08-20 00:15,-119.7500,38.9963,1441.42,80.60,39.20,22.81,60.00,5.00,0.00,29.96,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,79.10,KMEV 200015Z AUTO 06005KT 10SM SCT120 27/04 A2996 RMK AO2,M
HTH,2023-08-20 00:15,-118.6315,38.5448,1282.89,82.40,32.00,16.17,220.00,12.00,0.00,29.92,M,10.00,23.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.00,KHTH 200015Z AUTO 22012G23KT 10SM CLR 28/00 A2992 RMK A01,M
10U,2023-08-20 00:15,-116.1876,41.9532,1637.00,82.40,33.80,17.38,220.00,7.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.03,K10U 200015Z AUTO 22007KT 10SM CLR 28/01 A3002 RMK AO2,M
BAM,2023-08-20 00:15,-116.8743,40.5990,1382.36,86.00,35.60,16.63,130.00,7.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.69,KBAM 200015Z AUTO 13007KT 10SM CLR 30/02 A2997 RMK AO1,M
TMT,2023-08-20 00:15,-117.1971,39.4643,1749.34,78.30,34.30,20.27,220.00,5.00,0.00,30.07,M,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.30,KTMT 200015Z AUTO 22005KT CLR 26/01 A3007 RMK AO2 T02570013 PWINO,M
ELY,2023-08-20 00:20,-114.8453,39.2950,1909.00,61.00,53.00,74.93,180.00,11.00,T,30.20,M,3.00,21.00,FEW,BKN,M,M,5000.00,7000.00,M,M,+RA,M,M,M,27.00,260.00,2023-08-20 00:03,61.00,KELY 200020Z AUTO 18011G21KT 3SM +RA FEW050 BKN070 16/12 A3020 RMK AO2 PK WND 26027/0003 LTG DSNT E RAB17 PRESRR P0000 T01610117,M
05U,2023-08-20 00:30,-116.0051,39.6042,1811.23,80.60,33.80,18.42,M,M,0.00,30.09,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.88,K05U 200030Z AUTO 10SM 27/01 A3009 RMK A01,M
