station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BVU,2025-05-03 00:15,-114.8611,35.9475,671.00,87.80,21.20,8.70,M,5.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.33,KBVU 030015Z AUTO VRB05KT 10SM CLR 31/M06 A2979 RMK AO2,M
BAM,2025-05-03 00:15,-116.8743,40.5990,1382.36,78.80,26.60,14.59,290.00,9.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KBAM 030015Z AUTO 29009KT 10SM CLR 26/M03 A2994 RMK AO1,M
CXP,2025-05-03 00:15,-119.7326,39.1923,1431.00,71.60,33.80,24.86,240.00,9.00,0.00,29.96,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KCXP 030015Z AUTO 24009G19KT 10SM CLR 22/01 A2996 RMK AO2,M
RTS,2025-05-03 00:15,-119.8764,39.6682,1539.00,69.80,32.00,24.59,240.00,14.00,0.00,29.97,M,10.00,M,FEW,SCT,M,M,9500.00,12000.00,M,M,M,M,M,M,M,M,M,69.80,KRTS 030015Z AUTO 24014KT 10SM FEW095 SCT120 21/M00 A2997 RMK AO2,M
MEV,2025-05-03 00:15,-119.7500,38.9963,1441.42,66.20,41.00,39.72,280.00,11.00,0.00,29.95,M,6.00,20.00,FEW,FEW,BKN,M,6500.00,7500.00,8500.00,M,VCTS RA HZ,M,M,M,M,M,M,66.20,KMEV 030015Z AUTO 28011G20KT 6SM VCTS RA HZ FEW065 FEW075 BKN085 19/05 A2995 RMK AO2 LTG DSNT SE,M
HTH,2025-05-03 00:15,-118.6315,38.5448,1282.89,78.80,23.00,12.55,280.00,5.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KHTH 030015Z AUTO 28005KT 10SM CLR 26/M05 A2987 RMK A01,M
TMT,2025-05-03 00:15,-117.1971,39.4643,1749.34,73.00,24.30,16.08,250.00,9.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.00,KTMT 030015Z AUTO 25009KT 10SM CLR 23/M04 A2999 RMK AO2 T02271043,M
10U,2025-05-03 00:15,-116.1876,41.9532,1637.00,71.60,30.20,21.50,210.00,7.00,0.00,29.99,M,10.00,13.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,K10U 030015Z AUTO 21007G13KT 10SM CLR 22/M01 A2999 RMK AO2,M
BVU,2025-05-03 00:35,-114.8611,35.9475,671.00,87.80,21.20,8.70,110.00,5.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.33,KBVU 030035Z AUTO 11005KT 10SM CLR 31/M06 A2979 RMK AO2,M
BAM,2025-05-03 00:35,-116.8743,40.5990,1382.36,78.80,24.80,13.54,270.00,6.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KBAM 030035Z AUTO 27006KT 10SM CLR 26/M04 A2993 RMK AO1,M
