station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
TMT,2021-03-15 00:15,-117.1971,39.4643,1749.34,54.00,4.30,13.00,280.00,7.00,0.00,29.97,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,54.10,KTMT 150015Z AUTO 28007KT 10SM 12/M15 A2997 RMK AO2 T01231154,M
BVU,2021-03-15 00:15,-114.8611,35.9475,671.00,66.20,19.40,16.50,120.00,11.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,KBVU 150015Z AUTO 12011KT 10SM CLR 19/M07 A2996 RMK AO2,M
BAM,2021-03-15 00:15,-116.8743,40.5990,1382.36,59.00,17.60,19.68,250.00,8.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,KBAM 150015Z AUTO 25008KT 10SM CLR 15/M08 A2995 RMK AO1,M
BVU,2021-03-15 00:35,-114.8611,35.9475,671.00,66.20,19.40,16.50,130.00,12.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,KBVU 150035Z AUTO 13012KT 10SM CLR 19/M07 A2996 RMK AO2,M
TMT,2021-03-15 00:35,-117.1971,39.4643,1749.34,52.70,4.00,13.43,290.00,7.00,0.00,29.97,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.70,KTMT 150035Z AUTO 29007KT 10SM 12/M16 A2997 RMK AO2 T01151156,M
BAM,2021-03-15 00:35,-116.8743,40.5990,1382.36,57.20,17.60,20.99,250.00,7.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,KBAM 150035Z AUTO 25007KT 10SM CLR 14/M08 A2995 RMK AO1,M
ELY,2021-03-15 00:53,-114.8453,39.2950,1909.00,52.00,10.90,18.92,300.00,8.00,0.00,29.97,1014.40,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.00,KELY 150053Z AUTO 30008KT CLR 11/M12 A2997 RMK AO2 SLP144 T01111117 $,M
DRA,2021-03-15 00:53,-116.0278,36.6206,1009.00,61.00,17.10,17.94,250.00,8.00,0.00,29.96,1013.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,61.00,KDRA 150053Z AUTO 25008KT 10SM CLR 16/M08 A2996 RMK AO2 SLP133 T01611083 $,M
LOL,2021-03-15 00:53,-118.5701,40.0684,1192.43,58.00,15.10,18.37,130.00,4.00,0.00,29.90,1013.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.90,KLOL 150053Z AUTO 13004KT 10SM CLR 14/M09 A2990 RMK AO2 SLP132 T01441094,M
P68,2021-03-15 00:53,-116.0056,39.6014,1993.00,51.00,25.00,35.89,40.00,7.00,0.00,29.96,1013.80,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.10,KP68 150053Z AUTO 04007KT 11/M04 A2996 RMK AO1 SLP138 T01061039,M
VGT,2021-03-15 00:53,-115.1933,36.2111,667.00,68.00,19.90,15.84,130.00,8.00,0.00,29.90,1013.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KVGT 150053Z 13008KT 10SM CLR 20/M07 A2990 RMK AO2 SLP137 T02001067,M
